XdUoiEVccdo	1001009	1031430	1148979	1217722	1290639
EY8eRmmSGx0	63218	65966	75656	80634	84213
zyNUr4LWfoc	10692900	10830646	11431005	11722448	12009190
OrJ4rPSlrlI	1153743	1218688	1497717	1646763	1775906
JktwRXYTDYc	4571307	4590583	4708928	4789774	4869511
hD1YtmKXNb4	46356226	46637602	48198362	48876760	49652773
Jrr9bPVeieE	32642006	32799978	32912011	32969941	33025219
4X16Iw5ST4Q	1534974	1548057	1613005	1641902	1672473
0kKkKfpKfDk	24966	25448	26127	26639	27145
7cK1a9C7nlg	4605551	4927998	6218630	6823513	7292772
oHV9sqp7Kws	42750	98467	134791	137220	139073
At1EOyY5Hpo	1125169	1128575	1148923	1161034	1175711
36I7yGCA12s	28550	35678	56377	68102	76766
a_0PSZ2S_yw	3581379	3619942	3783481	3855332	3933535
S_nyiXUMzdc	5588144	5681884	5964042	6097810	6214670
acMC7bTVcY8	3502831	3916704	4879130	5299822	5718962
t4-Vf6L63Js	1647567	1791498	1891433	1901680	1906388
QO7e_RiMVQg	11845553	11897918	12131174	12272609	12412299
FcmUNlgld74	11556546	11689985	12204305	12422680	12650488
LTenOkKggsg	3267696	3292797	3387798	3447839	3523094
ttwrfsruMaU	43306	53545	76219	88897	97398
UOMiA4hSVVc	125944	134564	147892	153255	157614
z2JmKR_STSw	10442081	10450237	10475080	10492899	10512745
wtZelxSzzm8	44227	45004	46927	47767	48465
OpOvMwkGL18	2166173	3277431	5793830	6858866	7652639
DDY6KjQCMoQ	10243159	11043140	14921006	16346886	20066168
3EPWJEdDkFc	1467587	1477741	1526595	1554081	1585897
jCokmhfCziU	385577	388520	395014	398453	404180
mTa8L_X-AfQ	29198241	29455634	30434456	31157881	32145960
3Qdog8EvSzg	305075	309876	320625	323252	325482
oI_X2cMHNe0	4134237	4199819	4443223	4542714	4660185
lv8n_gPSbqM	48838	50281	54854	57712	59869
6M8VTsQJ-74	219555	224432	239453	249220	257804
TkTaadb9GmM	16366157	16439151	16729140	16836203	16974649
hjAyYupCcy0	172183	177892	186982	193281	199743
DmKpePzn5-c	19407980	19476971	19767476	19985533	20162694
_dpIwwI86ss	1899408	1908316	1933802	1941704	1949446
9-Lxt14dSL4	43687	43853	44465	44761	45130
