video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
zyNUr4LWfoc	No one has seen my real face	2022-04-28T13:22:04Z	1	PT19M21S	10694089	10830646	11431005	11722448	12009190	12149738	12220035	12462687	361841	364835	376579	382166	387602	390244	391580	396218	20207	20343	20809	21042	21225	21327	21386	21587
JktwRXYTDYc	50 Mystery Pools.. DONT Trust Fall into the Wrong One!	2022-04-25T05:34:28Z	24	PT9M	4571307	4590583	4708928	4790001	4869511	4907814	4923018	4988384	249734	250456	253815	256149	258473	259679	260355	262164	70546	70637	71147	71502	71835	72010	72096	72354
hD1YtmKXNb4	$10,000 Every Day You Survive Prison	2022-04-09T20:00:00Z	24	PT13M59S	46357445	46637602	48198602	48876760	49652971	50677944	51047214	52458047	2559519	2569975	2609199	2629106	2653113	2683530	2697891	2730443	120197	120704	123371	125808	127648	129076	129852	131387
p82YhXuWios	Зеленский СОРВАЛСЯ на пресс-конференции в метро Киева	2022-04-23T17:59:53Z	22	PT3M42S	1531691	1532972	1535887	1537763	1539994	1541708	1542479	1543677	16825	16831	16846	16862	16880	16887	16898	16912	None	None	None	None	None	None	None	None
RM5UOyi8W9g	#МОНТЯН В ЭФИРЕ: Восемь лет спустя… 😔	2022-05-02T18:20:55Z	22	PT2H4M40S	1268845	1275762	1296372	1307590	1323159	1330136			58540	58642	58818	58965	59146	59220			5133	5162	4839	4825	4848	4851		
bKHCTG_nwoU	Пробуем ЛЮБИМУЮ еду СУПЕРГЕРОЕВ	2022-04-28T12:00:15Z	24	PT31M54S	1460472	1488126	1544699	1578282	1612322	1629094	1646925	1679013	109537	110880	113288	114909	116559	117412	118430	119746	4281	4204	4249	4317	4356	4379	4402	4442
-T18GYEc86Q	24 ЧАСА без ЗРЕНИЯ СЛУХА и ГОЛОСА Челлендж	2022-04-28T11:00:02Z	24	PT21M3S	1132515	1143587	1166504	1177488	1189777	1195959	1202408	1212352	74857	75295	76207	76739	77218	77476	77802	78220	1377	1394	1416	1422	1432	1438	1448	1450
RqMxClvspj8	#МОНТЯН В ЭФИРЕ: Тихий вторник? 🤔	2022-05-03T17:37:11Z	22	PT1H6M17S	1135070	1149331	1161960	1165616	1169562	1171789			48399	48496	48324	48306	48321	48315			3373	3409	3300	3321	3327	3321		
3gZi-JtYlAM	24 Часа учу готовить Амелию / Вики Шоу	2022-04-28T13:00:17Z	24	PT18M	1492017	1505028	1538031	1555518	1577757	1589568	1602958	1622205	54994	55265	56075	56506	57028	57335	57672	58143	2733	2745	2780	2778	2797	2804	2816	2838
t4-Vf6L63Js	День семидесятый. Беседа с @Alexey Arestovych Алексей Арестович	2022-05-04T21:05:53Z	25	PT30M21S	1649526	1791498	1891481	1901680	1906406	1909042	1909485	1912523	272683	279893	307145	306533	306453	306385	306323	306175	4187	4635	4698	4480	4459	4457	4465	4446
QO7e_RiMVQg	Insane $100,000 Challenge!	2022-04-24T17:00:22Z	20	PT9M46S	11845926	11897918	12131174	12272609	12412299	12499751	12542552	12674693	542529	543891	548596	551535	554255	556080	557262	559918	22521	22564	22743	23098	23334	23448	23559	23030
dTA54srFoI4	Lp. Идеальный МИР #2 ЖИВЫЕ ЛЮДИ • Майнкрафт	2022-05-02T12:00:30Z	20	PT17M8S	1061026	1086406	1137647	1158678	1176915	1189404	1200766	1213799	136888	138505	141424	142507	143590	144358	145082	145703	5269	5283	5320	5330	5338	5349	5360	5372
aZw3shKxf5M	СРОЧНО! Падальщики добивают Украину. Провал Польши, Германии, с газом США. 1 мая 13:30	2022-05-01T11:00:01Z	23	PT11M39S	881857	884293	892824	895299	898079	899689	900496	902044	40956	41051	41375	41455	41557	41611	41644	41691	3288	3294	3267	3274	3137	3144	3146	3147
4LFwvco99xw	Citi Zēni - Eat Your Salad - Exclusive Rehearsal Clip - Latvia 🇱🇻 - Eurovision 2022	2022-05-04T10:46:08Z	24	PT48S	135013	146311	170335	181231	191067	199050	203932	209773	3989	4176	4435	4535	4635	4697	4758	4788	378	388	398	405	413	423	428	424
kKREoXVEA_8	Что прячут в гаражах звёзды? ФИЗРУК и МИХАЛЫЧ	2022-04-26T17:20:12Z	22	PT28M40S	2142139	2151605	2176760	2188338	2201083	2208584	2215717	2230016	83518	83768	84277	84500	84763	84932	85116	85330	1865	1869	1877	1884	1893	1897	1900	1903
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S	10442138	10450371	10475210	10492899	10512813	10523431	10530833	10549723	538490	538629	539013	539284	539536	539658	539744	539992	29968	29977	29981	30005	30049	30058	30066	30076
3JIZTv-N--E	Сколько выживших и погибших? Скажет ли правду Минобороны России?	2022-04-22T13:00:14Z	25	PT19M50S	864897	867726	876370	880217	885959	889217	891945	897570	14891	14912	14981	15023	15067	15091	15119	15172	3814	3822	3840	3852	3858	3862	3863	3868
oI_X2cMHNe0	How Electricity Actually Works	2022-04-29T13:59:54Z	27	PT24M31S	4134237	4201083	4443725	4543038	4660439	4726129	4756259	4864706	212567	215569	222959	226339	230136	232423	233596	236756	14484	14680	15187	15394	15721	15869	15981	16212
TkTaadb9GmM	Johnny Depp Amber Heard trial: Depp's friend makes court laugh	2022-04-14T09:46:40Z	25	PT4M13S	16366157	16439151	16729140	16836583	16974649	17053730	17095532	17200088	239982	240857	243768	244990	246835	247760	248249	249343	10502	10521	10611	10661	10721	10758	10781	10935
4RAEt1mYR38	Польша и Болгария пошли Ва-банк!	2022-04-30T04:15:00Z	25	PT11M43S	994626	995025	996134	996590	996917	997015	997056	997144	19436	19438	19442	19439	19430	19427	19420	19417	1979	1979	1983	1983	1986	1987	1987	1987
xImnMbyEJOk	Готовьтесь потреблять самые примитивные товары и услуги - Дмитрий Потапенко	2022-04-26T10:45:30Z	29	PT21M13S	1310383	1311736	1315798	1317856	1320070	1321079	1322287	1325552	60168	60195	60255	60276	60309	60310	60329	60389	9402	9404	9427	9435	9439	9434	9426	9440
iKzv9QQV6IY	Как долго Польша и Болгария выдержат без газа РФ, какие есть альтернативы? Экспорт и цены Газпрома	2022-04-27T09:18:59Z	25	PT19M44S	1252492	1257318	1265054	1267341	1269137	1270360	1270843	1272084	9377	9382	9402	9404	9406	9407	9408	9412	2204	2207	2216	2217	2218	2216	2220	2224
ejqo6qHgWTg	КОНТАКТЫ в телефоне МакSим: Дима Билан, Егор Крид, Антон НЕ БРАТЬ!	2022-05-04T16:01:32Z	23	PT39M43S	457458	603220	786875	843223	898989	928868	959227	1013509	32383	38036	44554	46554	48528	49578	50637	52177	2426	2771	3168	3232	3331	3372	3404	3485
UJZLru_ARLw	СУПЕР СТАС СОРВАЛСЯ! ЭКСТРЕМАЛЬНОЕ ПОХУДЕНИЕ 190 КГ ЖИРА	2022-04-26T12:00:22Z	17	PT26M23S	1095171	1101423	1116190	1124102	1132646	1137611	1142631	1152483	87687	87972	88594	88955	89371	89558	89833	90217	5211	5223	5249	5266	5288	5314	5333	5345
ONOAIuMuw-s	ЭТО ОЧЕНЬ ПЛОХО! ПРОБУЕМ ЕДУ ИЗ FIX PRICE ***эмиль в шоке***	2022-04-28T13:00:03Z	22	PT24M18S	1217801	1248524	1313871	1347691	1388649	1414514	1437958	1489975	83742	85028	87490	89006	90760	91792	92857	94795	3196	3242	3322	3345	3399	3441	3479	3531
jEy0wfkigL4	Некрасивая подружка 9 (2022). Страшная страшная сказка. 1 серия. Детектив, сериал, премьера.	2022-04-30T13:59:00Z	1	PT43M35S	523902	536269	566974	583451	601029	611415	618348	630901	3624	3689	3829	3900	3966	4001	4014	4060	351	355	364	376	386	389	390	399
lM9_6eS0pjQ	У Олега появился конкурент! Рисковое оживление.	2022-04-19T14:56:17Z	2	PT1H10M58S	2582886	2591267	2614959	2625955	2638974	2646747	2653039	2668800	124297	124482	124836	125049	125291	125435	125581	125862	10972	10989	11010	11025	11034	11046	11054	11067
KD8Uq9lu-DY	ЕС дает заднюю |  Росатом подписался на лохотрон | Импортозамещаем микроэлектронику| AfterShock.news	2022-05-04T05:08:21Z	25	PT15M9S	425079	436850	480280	507337	524666	528790	529536	531039	20656	21115	21980	22334	22490	22538	22559	22588	1098	1135	1121	1144	1156	1157	1156	1158
3klWO2ttpGQ	КАК СОХРАНИТЬ БУРГЕР НА 1 ГОД	2022-04-24T12:22:27Z	24	PT8M7S	2839168	2860986	2919798	2957017	3019004	3044300	3067814	3103244	168606	169215	170647	171635	173911	174816	175649	176570	9806	9859	9954	10049	10139	10165	10192	10219
37v1PJqG06g	ТЫ БЫ НИКОГДА ТАКОЕ НЕ ЗАГУГЛИЛ #11	2022-04-22T15:26:40Z	24	PT21M50S	3745065	3755583	3790898	3808786	3829926	3843487	3854586	3876115	380834	381517	383012	383973	385056	385670	386320	387222	10118	10122	10146	10161	10185	10200	10210	10224
Z1Nv1VcsWeo	SIDEMEN GTA MEME OLYMPICS	2022-05-03T18:00:17Z	22	PT40M11S	2390935	2548091	2896356	3069072	3201060	3280674	3322895	3446644	148629	154462	164131	168843	172749	174784	175996	178574	2888	2964	3151	3194	3223	3243	3248	3269
VIOT_9iW4dI	Кто стоит за атакой на Приднестровье? Молдову втягивают в конфликт | МИР	2022-05-01T12:27:54Z	25	PT24M17S	1176103	1251196	1554511	1870430	2249339	2406089	2536244	2708167	12906	13508	15811	18341	20515	21532	22261	23128	2556	2614	2810	3108	3398	3553	3680	3630
70JDd-Ywnio	ПЕРЕСАДКА ЛИЧНОСТИ [Топ Сикрет]	2022-04-28T13:36:16Z	24	PT35M28S	2529904	2557006	2625138	2656254	2693722	2715495	2731428	2764226	301756	303517	307296	309366	311798	313129	314313	316023	13452	13523	13645	13727	13809	13853	13889	13936
vBJDPmTWP8o	Український снайпер ефектно знешкоджує окупантів	2022-05-02T14:58:47Z	25	PT1M3S	1701859	1719153	1808730	1860559	1951601	1983142	1992869	2010041	13925	14024	14446	14712	15062	15189	15221	15286	969	981	994	1011	1041	1050	1051	1042
qRlpAYJk1l8	Нашла на свалке две коробки .Открыла ,чуть не упала .Это надо видеть ! Обзор находок  Элла Австралия	2022-04-29T16:22:05Z	22	PT24M43S	305519	310829	323689	328201	333904	336856	338739	343609	22046	22283	22607	22714	22867	22963	23028	23177	701	704	716	719	723	723	723	727
XzZGOrCn0gQ	*FUNNIEST* Try Not To Laugh	2022-04-28T16:00:31Z	23	PT11M32S	2141116	2154422	2228147	2279339	2339287	2368411	2379668	2423268	181755	182644	186351	189501	192681	194278	195020	197126	3594	3602	3665	3690	3726	3735	3754	3754
EPCJizoIeUI	СМОТРЮ СВОИ СТАРЫЕ ВИДЕО КРИНЖ ЧЕЛЛЕНДЖ	2022-05-04T12:03:16Z	22	PT35M43S	400593	456801	524326	543581	564780	576590	588899	607220	52562	56482	62248	64043	66010	67084	68204	69440	1976	2073	2164	2207	2242	2265	2299	2335
m5AQeY7fHMk	Сильный рубль и Слабая экономика! Европа без нефти | Новая ключевая ставка. Россия последние Новости	2022-04-30T16:15:01Z	22	PT13M50S	1082995	1095248	1125094	1141053	1162568	1177340	1191886	1205787	33991	34233	34768	35123	35564	35926	36205	36493	5593	5625	5659	5689	5660	5723	5749	5766
F2QxQXq24w0	"🔴Сколько людей вывели с ""Азовстали"", удар по аэропорту Одессы, что происходит в Приднестровье"	2022-05-01T17:07:56Z	25	PT2H18M15S	642935	645923	669524	682305	696050	701930	705091	708953	7949	7971	8189	8290	8354	8390	8400	8412	115	115	110	111	111	109	109	109
tgB1wUcmbbw	Marvel Studios' Thor: Love and Thunder | Official Teaser	2022-04-18T14:00:01Z	24	PT1M30S	36652209	36724542	37083693	37345960	37661654	37858021	37988668	38330959	1679558	1681022	1687303	1692066	1697689	1701462	1704032	1710282	66760	66800	66934	67021	67265	67385	67435	67634
-eKdRrKotdI	Ленинград — Иноагент	2022-04-28T15:55:14Z	10	PT2M36S	1602634	1619797	1686216	1728499	1773600	1804733	1824338	1972685	63371	63926	65145	65876	66553	67029	67377	71559	4968	4998	5132	5204	5255	5283	5297	5448
8dtENCaJS04	Мы забыли что значит покой. Протоиерей  Андрей Ткачёв.	2022-04-23T15:44:22Z	22	PT32M23S	313981	316265	325681	329514	332551	334869	337967	344140	19175	19266	19631	19768	19861	19934	20031	20190	1007	1011	1016	1019	1014	1007	1009	1011
jYCGBPCfooc	MB Viano /// Обновление автопарка	2022-04-27T16:00:32Z	2	PT12M34S	74339	74768	75967	76564	77263	77713	77946	78610	4488	4507	4553	4566	4582	4597	4608	4621	None	None	None	None	None	None	None	None
F0fMoqY9qI0	Samsung vs iPhone  - Which one survives a BOWLING BALL?	2022-04-29T09:40:45Z	28	PT58S	11348225	11403164	11512876	11563398	11623395	11663356	11694221	11769082	1044739	1051843	1062340	1067774	1072998	1076192	1078959	1084133	5975	5994	6027	6048	6072	6088	6100	6115
EKu5ui09v_Y	Kim Kardashian & Pete Davidson on Kim Wearing Marilyn Monroe's Dress | Met Gala 2022	2022-05-03T15:02:38Z	24	PT1M50S	2037836	2217026	3069225	3412036	3626065	3746394	3795374	3926107	45304	48822	58283	62364	64873	66359	66967	68409	2291	2493	3145	3492	3679	3752	3796	3890
RdklEHhQ6Mo	Тихие воды (2022). 1 серия. Детектив, премьера.	2022-04-22T18:15:01Z	24	PT44M5S	1452329	1477521	1534690	1565895	1611456	1641359	1665822	1709048	7410	7501	7634	7728	7949	8062	8154	8275	537	547	570	576	585	598	602	617
zdUIpi3WC5s	MORGENSHTERN - Селяви	2022-04-07T21:11:34Z	10	PT2M41S	8381180	8417143	8521099	8592263	8678831	8727864	8767687	8847811	360509	360890	361908	362591	363297	363709	364074	364733	25077	25099	25141	25164	25196	25203	25224	25249
