video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
zyNUr4LWfoc	No one has seen my real face	2022-04-28T13:22:04Z	1	PT19M21S	10694089	10830646	11431005	11722448	12009190	12149738	12220035	12462498	361833	364826	376573	382159	387597	390242	391577	396217	20206	20343	20809	21042	21224	21327	21386	21587
OrJ4rPSlrlI	Last City in Europe with No Laws	2022-05-01T17:00:01Z	24	PT16M44S	1153743	1219517	1498468	1646763	1775906	1860499	1899637	2046250	56434	58699	65745	69178	72154	74046	75191	77956	2511	2615	2948	3192	3376	3519	3610	3875
aNasBtbOsQA	สีกาตองลั่น! พระชวนหนูไปดูเขื่อน ด้านอดีตพระกาโตะสวนกลับโดนฝ่ายหญิงยั่วยวนก่อน  l EP.1190 l 2 พ.ค.65	2022-05-02T09:15:01Z	25	PT1H20M36S	3350979	3419219	3568439	3677606	3802511	3859289	3895139	3938111	51093	51665	52929	54314	55541	56113	56397	56805	28546	28708	28898	29181	29410	29506	29575	29599
hD1YtmKXNb4	$10,000 Every Day You Survive Prison	2022-04-09T20:00:00Z	24	PT13M59S	46357445	46637602	48198602	48876760	49652971	50677944	51047214	52457671	2559495	2569943	2609187	2629094	2653101	2683517	2697827	2730436	120195	120699	123371	125805	127646	129073	129852	131387
1cB5JZcosr4	Meet the foreign fighters joining Ukraine's battle with Russia | DW News	2022-05-02T19:40:15Z	25	PT18M51S	2077618	2184427	2532262	2882046	3277604	3484102	3579626	3815670	27638	28579	31934	35673	39425	41403	42295	44418	6065	6260	6814	7479	8091	8400	8596	8931
JktwRXYTDYc	50 Mystery Pools.. DONT Trust Fall into the Wrong One!	2022-04-25T05:34:28Z	24	PT9M	4571307	4590583	4708928	4789774	4869511	4907814	4923018	4988384	249733	250447	253810	256146	258469	259679	260352	262164	70544	70636	71147	71502	71835	72010	72096	72354
WGwjBfi7b0I	SIDEMEN SILENT LIBRARY 2	2022-04-24T19:15:50Z	24	PT32M15S	6649620	6681427	6789465	6841725	6897900	6934432	6951320	7004458	451421	452662	456085	457939	460030	461296	462100	463858	12241	12260	12258	12292	12322	12345	12353	12374
PhJ0FaLdzSs	What are the latest developments in Ukraine?	2022-05-01T13:38:26Z	25	PT3M35S	1706226	1734017	1801338	1824952	1856793	1865689	1871114	1874777	15538	15631	15858	15911	15998	16010	16014	16018	2840	2857	2884	2909	2905	2906	2908	2904
jvsDRB2GmmQ	Johnny Depp Defamation Trial Against Amber Heard – Day 12, PART 2 | LIVE	2022-05-02T21:06:48Z	24	PT2H19M11S	465134	467014	478326	479930	481754	482874	483274	484652	2924	2930	2943	2953	2957	2959	2960	2966	497	511	512	516	516	524	524	530
kYkGsXiRl1w	The ELECTRIC HUMMER projects 'coolest' video YET...	2022-04-28T13:44:23Z	26	PT27M55S	861935	869509	893636	904561	916972	923805	927422	942453	57612	57922	58666	59029	59390	59598	59736	60163	3284	3293	3316	3336	3353	3366	3370	3385
