video_id	title	published_at	category_id	duration	views_1	views_2	views_3	views_4	views_5	views_6	views_7	views_8	likes_1	likes_2	likes_3	likes_4	likes_5	likes_6	likes_7	likes_8	comments_1	comments_2	comments_3	comments_4	comments_5	comments_6	comments_7	comments_8
r4Cb5nj4VgI	MINI VAKANTIE MET ZIJN 3-EN - MONICAGEUZE WEEKVLOG #	2022-05-02T18:40:07Z	24	PT38M48S	143907	152142	171580	181862	192241	199771	205261	215781	2029	2089	2234	2320	2393	2440	2472	2545	194	197	203	203	207	209	213	218
XdUoiEVccdo	Ronnie O'Sullivan Makes It Seven World Titles | Eurosport Snooker	2022-05-02T20:07:20Z	17	PT16M38S	1000813	1031430	1148979	1217544	1290639	1322105	1337386	1373845	11462	11746	12559	13021	13499	13702	13833	14053	1046	1056	1104	1130	1144	1160	1171	1182
OrJ4rPSlrlI	Last City in Europe with No Laws	2022-05-01T17:00:01Z	24	PT16M44S	1153743	1218688	1497717	1646440	1775906	1860338	1899312	2046116	56415	58679	65730	69173	72148	74044	75177	77950	2513	2618	2946	3192	3372	3518	3608	3870
z3vJM8AOvvQ	Tv-maker Catherine Keyl klaar met discussie over Johan Derksen	2022-04-29T06:30:15Z	25	PT3M2S	144093	146433	151732	152309	152959	153223	153355	153662	676	677	682	683	684	685	685	685	572	574	579	585	586	583	586	586
2RguRRYnqlU	ONVERWACHTS BELLETJE VAN DE NEDERLANDSE POLITIE OP VAKANTIE..👮‍♀️😱	2022-04-27T15:30:21Z	24	PT22M51S	257619	258538	261026	262684	264196	265237	265838	267023	7235	7249	7295	7332	7369	7378	7385	7403	340	340	342	343	343	343	343	340
3MCr2hsmLBE	€100 als STEFAN Uit Mijn Handen Blijft - Air Tag Hunt	2022-05-01T09:00:03Z	23	PT13M42S	35237	36975	41879	44452	45861	47253	47951	49640	1943	1992	2178	2277	2317	2357	2395	2434	30	30	63	65	40	42	43	45
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	2022-04-30T16:00:03Z	28	PT12M32S	4605551	4923592	6215518	6823513	7291988	7532550	7610269	7881698	239415	250174	275647	287691	298403	304139	306564	312341	5087	5147	5446	5717	6029	6106	6149	6215
HzKJeQIX78k	Kraantje Pappie - Lang Leve The Life (prod. Nightwatch & Project Money)	2022-05-02T11:00:17Z	10	PT3M2S	31441	34283	40621	45037	50301	54044	56506	61439	1113	1160	1272	1346	1438	1500	1536	1603	52	54	63	71	75	79	83	85
KvbrhBGeQss	Hans Teeuwen - Heerlijk gesprek	2022-04-28T12:33:02Z	23	PT9M18S	200945	202186	205833	207422	208908	210063	210638	212448	4297	4329	4390	4414	4449	4466	4485	4528	513	515	523	528	532	535	538	544
_A6QcoZwRpI	Ik Huurde Iemand in om m’n iPhone te Repareren, Maar hij was Niet Stuk | Kalvijn	2022-04-30T10:00:12Z	22	PT12M5S	450280	461352	487565	509236	527971	541663	551074	574080	25064	25604	26689	27490	28249	28816	29314	30212	441	448	470	479	487	498	502	510
Vcwhe0pY4Bg	Pheelz - Finesse (ft. BNXN) [Official Music Video]	2022-04-19T14:00:12Z	10	PT2M54S	8057867	8161441	8630441	8977183	9317481	9526969	9652624	10051982	88983	90134	94381	97457	100483	102394	103636	106910	2314	2336	2399	2457	2530	2562	2581	2631
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	2022-05-01T17:15:01Z	20	PT4M24S	3581123	3619942	3783481	3855332	3933385	4003169	4029204	4126174	213525	215193	220411	222960	225393	227897	228993	232175	12367	12460	12718	12870	13026	13184	13247	13469
lxZJqTudlf8	24 Pranks Binnen 24 Uur! *Challenge*	2022-04-26T14:30:10Z	22	PT15M59S	336800	339791	346440	350814	354408	356675	360789	368858	24430	24582	24908	25142	25285	25421	25631	25915	1236	1243	1255	1262	1266	1272	1283	1289
QO7e_RiMVQg	Insane $100,000 Challenge!	2022-04-24T17:00:22Z	20	PT9M46S	11845553	11897193	12130393	12272259	12411980	12499429	12542161	12674490	542515	543880	548585	551527	554247	556076	557251	559910	22521	22560	22743	23098	23334	23448	23558	23029
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	2022-04-14T17:15:00Z	25	PT5M37S	11556546	11689985	12204305	12421970	12650488	12775481	12852115	13019853	163947	165615	171449	174241	176986	178514	179483	181334	11489	11563	11911	12061	12176	12251	12307	12429
3Nv99SKbpKU	K3 - Tjikke boem	2022-04-22T15:00:13Z	10	PT3M34S	409302	415351	430145	442358	457134	464468	472396	488213	7698	7736	7794	7842	7907	7929	7948	8014	497	496	505	506	515	521	522	527
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	2022-04-23T15:00:13Z	20	PT6M44S	10442081	10450237	10475080	10492849	10512745	10523385	10530763	10549698	538488	538629	539010	539282	539537	539657	539743	539992	29969	29977	29981	30004	30049	30058	30066	30076
OpOvMwkGL18	LAST TO TALK WINS $10,000	2022-05-04T23:43:44Z	22	PT13M15S	2159792	3277431	5793830	6856433	7652639	8033825	8119366	8395260	87188	121385	163896	184158	196345	202328	203620	206944	6980	7943	9981	10826	11664	12133	12313	12643
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	2022-05-02T11:02:34Z	20	PT1M20S	10243159	11039644	14910813	16345118	20066168	21178548	21295911	21442254	161996	162887	165110	166649	168563	169421	169825	170720	5639	5688	5758	5812	5855	5876	5882	5907
Im9bpJY_NRs	10 EXTREME MOPPEN!	2022-05-01T07:00:09Z	24	PT17M35S	351802	360685	384886	397383	407804	413970	418380	426668	16199	16431	16949	17289	17508	17668	17799	17981	860	869	900	918	931	936	942	945
M3iYFWMATyg	De hele wereld tegen Rusland? Valt best mee	2022-04-30T07:00:06Z	25	PT8M50S	135865	140798	151042	154336	157725	160110	161337	163953	2292	2339	2463	2500	2574	2611	2632	2664	1429	1466	1520	1536	1583	1590	1613	1617
jVn_rRlP29w	De Nederlandse Bier Tierlist (met Acid)	2022-05-01T15:26:12Z	24	PT14M1S	223525	230348	244137	250117	255480	259225	260982	263559	14869	15145	15636	15873	16057	16205	16281	16360	454	463	481	484	496	498	508	511
DxJNeHoCl9M	Al Mijn MakeUp WEGGOOIEN.. | GEEN CLICKBAIT! | JessieMaya	2022-04-24T10:23:24Z	24	PT27M43S	152614	153460	155464	156590	158133	158965	159436	160546	4424	4455	4479	4500	4529	4546	4555	4569	317	318	321	324	329	330	331	333
2J9pXnhQJqM	Best and Worst Dressed Met Gala 2022 (Dirty Laundry)	2022-05-03T09:32:09Z	26	PT16M29S	325462	342618	399326	423353	439370	446778	450123	456387	6594	6851	7494	7814	8047	8163	8205	8282	788	824	915	963	982	998	1000	1011
DgyBl_gexIM	Tobi's vrijgezellenfeest | FOMO SHOW S3 #7 | NPO 3	2022-04-26T14:00:05Z	24	PT19M40S	504230	507552	516566	521552	526538	530143	532258	537317	14028	14056	14143	14203	14265	14313	14347	14390	344	346	350	358	364	365	366	368
oI_X2cMHNe0	How Electricity Actually Works	2022-04-29T13:59:54Z	27	PT24M31S	4133837	4199819	4443223	4542714	4660185	4725895	4755947	4864635	212527	215534	222946	226327	230125	232421	233587	236752	14484	14685	15187	15393	15718	15868	15980	16212
CTQ0TYi5_CE	TERUGKIJKEN: De Nationale Herdenking in Amsterdam	2022-05-04T18:51:26Z	25	PT1H57M50S	116993	122278	133607	138304	141754	143004	143817	145102	1463	1497	1543	1544	1557	1561	1562	1563	None	None	None	None	None	None	None	None
eV_Ki30MDDA	I know what the hell I'm talking about! - Shaquille O'Neal 🤝 #shorts	2022-04-21T21:30:05Z	17	PT40S	8627826	8713709	9246182	9572402	9925902	10170344	10268136	10624215	820940	829907	873050	900415	927936	946635	954509	981658	1835	1869	1985	2071	2139	2200	2218	2304
