video_id	title	size	category_ratio	views	comments	likes	views_wma	comments_wma	likes_wma
zyNUr4LWfoc	No one has seen my real face	580.5	0.02	12220035	21386	391577	11857957.535714285	21116.821428571428	384654.14285714284
OrJ4rPSlrlI	Last City in Europe with No Laws	502.0	0.3	1899637	3610	75191	1714829.142857143	3307.75	70684.35714285714
aNasBtbOsQA	สีกาตองลั่น! พระชวนหนูไปดูเขื่อน ด้านอดีตพระกาโตะสวนกลับโดนฝ่ายหญิงยั่วยวนก่อน  l EP.1190 l 2 พ.ค.65	2418.0	0.12	3895139	29575	56397	3751407.8571428573	29303.25	54986.71428571428
hD1YtmKXNb4	$10,000 Every Day You Survive Prison	419.5	0.3	51047214	129852	2697827	49621375.428571425	127019.92857142857	2653382.6428571427
1cB5JZcosr4	Meet the foreign fighters joining Ukraine's battle with Russia | DW News	565.5	0.12	3579626	8596	42295	3140052.0	7856.071428571428	38032.07142857143
JktwRXYTDYc	50 Mystery Pools.. DONT Trust Fall into the Wrong One!	270.0	0.3	4923018	72096	260352	4831925.642857143	71684.71428571429	257483.0
WGwjBfi7b0I	SIDEMEN SILENT LIBRARY 2	967.5	0.3	6951320	12353	462100	6875110.75	12316.214285714286	459263.64285714284
PhJ0FaLdzSs	What are the latest developments in Ukraine?	107.5	0.12	1871114	2908	16014	1837642.107142857	2898.535714285714	15934.5
jvsDRB2GmmQ	Johnny Depp Defamation Trial Against Amber Heard – Day 12, PART 2 | LIVE	4175.5	0.3	483274	524	2960	480099.71428571426	518.25	2953.0
kYkGsXiRl1w	The ELECTRIC HUMMER projects 'coolest' video YET...	837.5	0.02	927422	3370	59736	911419.6071428572	3346.8928571428573	59223.57142857143
4X16Iw5ST4Q	Canada Made Really Weird PSAs...	663.5	0.03	1700743	9318	139895	1659483.3214285714	9201.642857142857	137655.14285714287
7cK1a9C7nlg	I gave MrBeast a REAL LIGHTSABER and caused a DISASTER!	376.0	0.04	7610870	6149	306580	6976876.607142857	5872.821428571428	292173.64285714284
RmP93yzx82k	ENSOM, SINGEL OG BARNELØS.. 30-årskrise?	662.0	0.3	35938	172	1283	32839.5	164.14285714285714	1217.2142857142858
TGmteJjCBhQ	5 Men Rank Themselves By Strength | Assumptions vs Deadlift	373.5	0.3	1278191	2492	53524	943380.25	1922.9642857142858	39541.142857142855
a_0PSZ2S_yw	Overwatch 2 a Pathetic Preview	132.0	0.14	4029439	13247	229004	3910243.8571428573	12997.07142857143	224802.2142857143
9Q71C4IsbZE	dyeing my hair and doing a HUGE MAKEOVER	644.5	0.3	785164	3231	71520	764867.9285714285	3179.535714285714	70214.07142857143
S_nyiXUMzdc	SIDEMEN GAME OF LIFE IN REAL LIFE	2292.0	0.3	6295292	6580	278586	6142583.428571428	6522.821428571428	274411.60714285716
vPdDYqQHgCQ	ImDOntai Reacts To Mems For IMDontai V98 (Special Edition)	725.5	0.11	849800	957	51416	843260.0357142857	956.9642857142857	51214.357142857145
9qRxNYuR2c4	Dictator's Dilemma (Full Episode) | North Korea: Inside the Mind of a Dictator	1332.0	0.3	4829720	6429	80859	4171006.4285714286	5782.178571428572	71387.67857142857
QO7e_RiMVQg	Insane $100,000 Challenge!	293.0	0.14	12542552	23559	557259	12356556.607142856	23233.60714285714	553241.4642857143
FcmUNlgld74	Johnny Depp's friend gets emotional talking about Amber Heard	168.5	0.12	12852531	12307	179487	12540105.67857143	12111.892857142857	175682.0357142857
wls4sJFKWoE	GNOMER ER EKTE	793.0	0.3	51757	0	1985	49007.21428571428	0.0	1946.5357142857142
ujcsE0iXMH8	I Spent *1 WEEK STRAIGHT* In Pet Simulator X Without Leaving...	476.0	0.14	1296221	4473	30718	1231264.7857142857	4376.0	29764.785714285714
z2JmKR_STSw	Brawl Stars: Brawl Talk - 2 Brawlers, Bot Drop Game Mode, Sprays, and MORE!	202.0	0.14	10530833	30066	539743	10505707.17857143	30033.571428571428	539419.1785714285
hJMmweWlDL0	He got Banned from America!	449.0	0.03	2953053	4471	149932	2907469.964285714	4442.214285714285	148857.7142857143
f2Tn9_Q-si4	$20 VS $2000 DIY House Boat *BUDGET CHALLENGE*	386.5	0.3	352029	208	16431	310916.21428571426	201.71428571428572	14861.857142857143
OpOvMwkGL18	LAST TO TALK WINS $10,000	397.5	0.11	8119366	12314	203626	7029989.142857143	11196.285714285714	185016.39285714287
DDY6KjQCMoQ	Welcome to CLAN CAPITAL! Clash of Clans New Update!	40.0	0.14	21296278	5882	169826	18535831.89285714	5830.071428571428	167782.82142857142
ZkzNAhppysE	Gigi Hadid on Her Extremely Heavy Met Gala Dress | Met Gala 2022 With Emma Chamberlain | Vogue	51.5	0.3	3583223	1185	94938	3241341.1071428573	1092.607142857143	88865.57142857143
3EPWJEdDkFc	Guitarist Learns Songs By Ear on Omegle	416.0	0.04	1620904	4612	99157	1576848.4642857143	4560.107142857143	97543.17857142857
Ipv_LWcdfC0	it's been 3 years since we left NYC	205.5	0.11	1625471	6441	101436	1608473.107142857	6385.178571428572	100849.64285714286
gRDJH0ba64c	Life has been hard before Nintendo Switch Sports	510.0	0.14	617038	863	35725	590383.4642857143	843.3571428571429	34755.357142857145
oI_X2cMHNe0	How Electricity Actually Works	735.5	0.06	4755947	15980	233593	4606557.857142857	15594.464285714286	228508.60714285713
eV_Ki30MDDA	I know what the hell I'm talking about! - Shaquille O'Neal 🤝 #shorts	20.0	0.11	10269147	2218	954597	9808389.82142857	2115.3928571428573	918000.0714285715
TkTaadb9GmM	Johnny Depp Amber Heard trial: Depp's friend makes court laugh	126.5	0.12	17095175	10781	248249	16915598.75	10701.464285714286	246120.32142857142
gRl0LJyG92Q	HIGH League 3: I KONFERENCJA	5698.5	0.3	886296	655	25275	836378.8214285715	604.2857142857143	24879.285714285714
FIRQSAwF0bI	Turning Ice into a Diamond 🧊💎 #shorts	28.5	0.02	11870622	2449	1504840	9050749.07142857	2004.9285714285713	1182550.5714285714
bG19b06NG_w	How Wells & Aquifers Actually Work	426.5	0.06	2077656	1539	57391	1900284.4285714286	1446.7142857142858	52592.32142857143
_dpIwwI86ss	Ukrainian Soldiers Say Russian Troops Look 'Desperate' In Battle For Donetsk Region	82.5	0.12	1953799	4530	26537	1943741.1785714286	4512.5	26464.85714285714
wGvO8b-tiaM	Tucker: This is why Democrats are taking us to war with Russia	582.5	0.12	3417643	33466	123731	3364328.5	32978.17857142857	121853.71428571429
XzZGOrCn0gQ	*FUNNIEST* Try Not To Laugh	346.0	0.03	2379668	3754	195016	2314840.0714285714	3709.6785714285716	191366.10714285713
Z1Nv1VcsWeo	SIDEMEN GTA MEME OLYMPICS	1205.5	0.11	3322511	3248	175989	3121034.785714286	3191.1428571428573	170340.7857142857
tgB1wUcmbbw	Marvel Studios' Thor: Love and Thunder | Official Teaser	45.0	0.3	37988668	67435	1704028	37575431.0	67211.5	1696324.4642857143
vBJDPmTWP8o	Український снайпер ефектно знешкоджує окупантів	31.5	0.12	1992798	1051	15221	1914697.857142857	1029.25	14897.67857142857
ACc_TqqRtxw	Can KSI and LOGAN PAUL save your Smartphone!?	30.0	0.04	4098793	2669	415576	3582832.964285714	2490.3571428571427	369839.03571428574
ojv92-lmwko	TASER Hide N Seek Ben Azelart's Warehouse! *Foam Pit Fort*	265.0	0.3	768060	306	16549	734436.7857142857	300.0357142857143	16088.107142857143
F0fMoqY9qI0	Samsung vs iPhone  - Which one survives a BOWLING BALL?	29.0	0.04	11694221	6100	1078954	11603693.964285715	6065.142857142857	1070758.75
b4F0YBnVdno	Tyson Fury Calls Out Francis Ngannou After Highlight Reel KO of Dillian Whyte	123.0	0.11	2771784	5675	30615	2764755.214285714	5667.178571428572	30530.14285714286
yrj9OzuI-RU	West Ham vs Arsenal | Match Day Live	4123.0	0.11	166098	112	2539	165755.7142857143	111.64285714285714	2538.6428571428573
tcSmm3rJikY	I Spent $6000 on Photoshop Battles	310.0	0.14	4290818	5720	170358	4260858.571428572	5708.821428571428	169657.35714285713
jeVqPpWlPxg	BTS (방탄소년단) ‘Proof’ Logo Trailer	160.5	0.04	8222836	74181	1915109	7573791.821428572	71922.89285714286	1785027.0
-KKBtdYW9Uc	Amber Heard's attorneys call witnesses in Johnny Depp's defamation suit against ex-wife | May 3	12023.0	0.12	1190436	764	8339	1183470.107142857	755.6428571428571	8337.214285714286
3C44FKPNTwg	Parkour IMPACT Test - 22ft challenge! 🇬🇧	915.0	0.11	771729	1018	33841	744522.1071428572	996.6071428571429	33002.42857142857
LEskwxhMZLU	Jeg Utforsket En Forlatt Militærleir i Danmark	240.0	0.11	29887	173	1523	29158.535714285714	170.07142857142858	1509.357142857143
