XdUoiEVccdo	11462	11746
hse_g-YZ754	85999	86430
AAp-2L682Jg	138657	141239
5ED4m-4zw14	48294	49014
i-qaw_coIsw	4282	4377
IkWhSslf7d8	16018	17826
a_0PSZ2S_yw	213530	215198
acMC7bTVcY8	705240	753300
Ujaa3ar4hCA	61372	63975
FgSX-RZeXQU	25498	25910
SoVLr7A4Q7k	1430	1432
CMWLX0KXwF4	51162	57768
nxn0lmYArXg	11270	11342
F4Z0GHWHe60	21205	21335
cU4CuA5dFz4	17133	17307
Nq3x1AkwgpY	119177	142822
s-MoeONH5Ug	128755	129574
VMJPHqwv41U	70983	72255
SNL1828hKIQ	79090	81273
IRyvDZzXGEs	28886	29244
gRDJH0ba64c	31280	31943
N3f7OLt-WvY	73576	74903
qqAxQ9yVa5A	89219	90432
eQS0iayRgQU	27789	28028
6lcVtR-zHuI	8869	8912
_fpxCuorKjA	66949	70613
6fPj6mj-M_k	47606	48043
ql1YDUYWTmg	4400	4407
BkBkxM2MOmw	93935	95863
wBo8hqRd92Q	40093	41614
T4tcZAduiVk	28543	28975
JyXpzxRr_T0	64723	66809
bG19b06NG_w	38963	40245
OXbQx2hfA5k	15125	15182
h5AKZrG1khI	11094	11238
IFQczCt-oSY	127566	127950
XzZGOrCn0gQ	181751	182636
_bdxSvIh7-A	9759	9808
wZiPs0vqFFU	28387	29893
vVXqB3WbzM0	3162	3172
Q33XE_ksUCU	221471	227343
PbRZcvVnF0w	39153	40820
JKOdGQAfAIc	53824	55555
p9ImTMnUK0Q	19328	20025
KCNhjF-MzYg	137823	146248
NP0mOzGPAmg	8859	8861
3iLXOp3TbiU	10740	10762
Ajn-PTtBOn4	37201	38623
7RcXq-8cOac	1795	1932
_WE89vjfcBI	7611	7753
jeVqPpWlPxg	1272955	1347577
Oxyo2sK_jVk	29349	29586
neELJuq4yTI	773	776
VS4QQPFw5uI	21327	22423
3yvVjrVpzws	19669	20951
YxwOYl5Ar-c	27329	27427
0uGjlJAUVN4	31348	31702
hiE6RIPe6U4	41884	42774
iH8mWNKM8xU	None	None
exMTvet57Ew	59554	60715
a5gbT7Uo5qY	72870	79942
AmWcgZVpbGw	9068	9108
yb4kLSp-Us8	72279	73518
wInET75QqWc	95192	96068
mMTubwgXTFw	19799	21344
CdzGHBUEMY8	13877	14192
0HPKKFugajE	135147	136087
QlZjtudjVD0	125658	125788
NlXYiUDyhkg	27429	29384
xaS3waWZm2c	110488	114058
xk2NXsveacg	4586	4631
tCOaHMeZ6ow	153345	154379
665iGAG-ZqU	262795	266197
dsUz1eG15k0	16592	16659
-b7l4TmWMQg	100231	101485
n6WwfSGj31E	48667	49901
lXx_w6mZrWA	2037	2063
GI5Ly4hco2k	11358	11730
_7oxJxSB4tQ	5066	5271
OHUsPiXfcfM	1229823	1240758
HLLofrwRlBg	80539	81665
oHVD8Kvztj8	15820	16412
gUyz3dXZ4M4	9354	9492
jf2lyUMr1xQ	36624	42893
vg6Iq_Es3Wk	629014	639650
SekELztG4LU	49760	55449
QizGkU3HuOs	6056	6295
mkH7rVb6V68	226770	227059
oSwZ_BckDvc	120788	123968
VUXTzIxvtrk	29880	31819
IYOQi5caOME	103062	106772
AQbmpecxS2w	45039	47254
3l04R6SEtBY	187354	187858
fBothcgu0Lo	27459	27772
64qgJAVbHL8	17525	18094
8Z1hVuzU5ac	49789	50398
c0wUKCekI34	162251	166487
P5j-DvILc9E	113029	114197
cOFuEQEvC3E	115973	116794
oDH4AKMG16I	15599	15655
W6CXEbFGn-I	13943	13951
FBeSKL9zVro	32610	33839
ZoPJVcHYlU0	None	None
WosblHoWh1g	175269	176503
tvMukfKu95w	51623	52294
OvureZfa7AI	13127	13770
xf3OzncHmfE	147321	148514
eT_k9JG0IN4	5517	6219
0XwlWXtpaCM	192831	199106
pQuk3t2aeBo	250099	252648
MaaHpMY51oc	26717	27102
SUdHzKRiBX8	73713	75668
_8Wn3vl-U3I	2699	2712
sCAluJdxOCI	138577	146607
L-QNituOKHk	76338	76911
ZQ4E0JJcxz0	127693	128579
kZdhnDmr0w4	69764	70294
dmBvnY4rKHg	664387	668626
YzPNIG1nJ8I	4401	4610
Yx3K3g4CtoQ	110619	114591
0O19jrfqG_w	2508	2542
l0Xw6NMlRQ4	92684	100036
uFzuRm3wCDk	51859	52858
HG4tYKI7qBo	136371	136779
_GY0NgIrsAw	10450	10508
-4CDUUCtmxg	158731	162923
dztw13yqZQg	101029	101119
H1hDzq98WIY	129992	133924
JCqqojm7I1U	51458	56962
lyJqXb8Nj-I	29764	31119
3-ZKlNOonB8	14745	15032
n1khwOk5dN8	269726	274405
VQeW62X8rEA	4172	4866
ECqZp53MSes	104624	105106
CvUiD3RUP2k	15758	15810
txXIEosA36g	93064	93562
zpqrCaSw3DM	124333	124886
Kcg8l5IQgjo	163823	165359
WylC30nOvAs	62524	63735
lJ8PdLpbcd8	89896	91236
6cpqybFgy2k	81710	82069
WgdABWxoAB4	215066	225662
MH2RusnlnlA	17035	17540
Gg3RFw0249I	10027	10272
sdk5KHP20Co	23026	23997
1nLnR8yK_BA	118844	121315
heayyMyhSGU	84762	88167
w7yAu-uNT7o	59784	61288
CA1VHbdq5hY	75771	78194
8dJyRm2jJ-U	6164788	6233946
xCjgsA89mXM	1109	1114
qOY8F_ngNWI	149246	152623
viTSMbstk8E	2889	2983
j1AuFXa_g0o	91653	98044
dEbVfBJMoRI	56833	57530
2n5GKLdrTfk	73891	76679
Snr1T9872B4	6563	6779
zlwVZTtR0zQ	25757	26260
f-FKuLKPZ_o	8687	8888
HD6_0c8Fgnk	3598	3854
_iz5_DuY_II	281431	290018
gSPbrmIpcy0	26372	26996
fV5NzrTmqZM	130165	132300
pY5O1u2gK7Q	321287	325538
U46SdfBAGNg	19118	19408
7LjwkTx--O8	91458	92453
IhZ41e1gzAY	26875	27281
7OPg-ksxZ4Y	202484	209556
kg7_6afHYDA	24031	24314
EUcvdGfGEj0	172105	173233
7l6L5wFfsLU	216845	218522
T9F0jnh4Rak	30158	30282
RO_XCj8lkqo	17150	17292
pkOdmGzEucE	87162	87554
3Yh_6_zItPU	306005	317252
kBArlifCKgo	25950	26397
z8a5-W9aeSI	32373	33234
l3aWuWZL8x0	9227	9279
_dEb_xBr_Mk	37930	38458
S6hedDGVOGE	73428	74239
ItZ4SlxpOiI	95094	99974
ONj9cvHCado	459262	466038
WHQncEyyP6I	15867	16096
RTTNXES9L44	3079	3080
egU5k2_lYbo	4410	4522
PwLH7QJGXLc	6788	6801
DtQycgMD4HQ	143408	145796
QXBWp0KXp0o	30426	30552
0iL0B-02b5M	174600	177633
PJkTt9rxLtQ	23550	23558
QUXYYx4YCIo	16671	16927
mGBshW61EC0	67860	70067
ijS_orLb6VU	95582	98072
ZTpRsEp-_04	115315	117180
g8SVsEgrygY	44435	45294
dDtLZ-l_ItE	68925	69982
OH11BCYwD_A	53132	54317
mR1BGC_S8xo	74323	74573
HpcMKZUs2QY	137880	138691
v5M8TjxCu9w	175484	176366
